Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
ARE,United Arab Emirates,24661,Government spending on travel and Tourism service,US$ in bn (Real prices),0.134578,0.135105,0.151551,0.200337,0.208447,0.243546,0.311456,0.357422,0.395737,0.419632,0.406999,0.425876,0.429605,0.435788,0.693393,0.630231,0.664866,0.683216,0.849297,0.893889,0.908256,0.901106,0.876348,0.91453,0.954268,0.995621,1.03456,1.07546,1.11807,1.16568,1.21332,1.26165,1.31211,1.35833
ARE,United Arab Emirates,24663,Government spending on travel and Tourism service,% share of total tourism expenditure,2.3,2.34,2.38667,2.52,2.77333,3.27111,3.90667,4.2763,4.51037,4.74445,4.97852,5.21259,5.36667,5.44667,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947,5.47947
ARE,United Arab Emirates,24674,Capital investment in Travel and Tourism,US$ in bn (Real prices),0.551302,0.818876,1.20138,1.1791,1.12218,1.0016,1.13788,1.10682,1.23169,1.23093,1.43586,2.01278,4.12988,4.42726,4.38589,4.98658,5.08771,5.41985,6.05298,6.42395,7.1353,6.75819,6.9228,7.4207,8.21209,9.16566,10.0778,10.9768,11.8812,12.8608,13.7783,14.7923,15.874,16.8996
ARE,United Arab Emirates,24693,Travel and Tourism total contribution to GDP,Percentage share of total GDP,4.58548,4.80991,4.67756,3.92708,4.51956,4.17632,4.1276,4.17576,3.84759,3.62198,5.21594,6.00355,6.65776,8.12,8.41113,8.2716,7.92635,7.9024,8.83063,8.56885,10.3729,11.1482,11.3329,11.2341,10.7857,10.5133,10.3543,10.3069,10.3406,10.3349,10.3713,10.3866,10.4325,10.5704
ARE,United Arab Emirates,24695,Travel and Tourism total contribution to GDP,US$ in bn (Real prices),8.34423,9.26017,9.74292,8.20362,9.71532,9.95181,9.97332,10.3352,10.361,10.6866,16.1367,20.4005,23.3438,29.3796,28.8375,28.8228,29.3761,30.7824,36.3898,36.471,38.3607,39.6967,41.9505,44.0071,44.8871,46.3604,48.1401,49.8471,51.9151,53.9203,56.1202,58.3547,60.8293,63.7764
ARG,Argentina,24661,Government spending on travel and Tourism service,US$ in bn (Real prices),0.166556,0.152452,0.171648,0.191776,0.199403,0.198817,0.194686,0.135165,0.138701,0.140002,0.166995,0.185761,0.212493,0.232593,0.256377,0.269724,0.296865,0.3128,0.32397,0.319304,0.358321,0.350119,0.366664,0.374146,0.379987,0.386874,0.394884,0.403485,0.412342,0.421356,0.43032,0.439305,0.448611,0.458293
ARG,Argentina,24663,Government spending on travel and Tourism service,% share of total tourism expenditure,2.5391,2.60917,2.67626,2.67877,2.62369,2.62668,2.62068,2.35212,2.38053,2.39203,2.4022,2.41465,2.4241,2.43183,2.43863,2.44543,2.45294,2.46009,2.46693,2.47343,2.47958,2.48539,2.49085,2.49596,2.5007,2.50509,2.50948,2.51388,2.51829,2.52271,2.52714,2.53158,2.53602,2.54047
ARG,Argentina,24674,Capital investment in Travel and Tourism,US$ in bn (Real prices),2.03817,2.95363,4.39824,4.81193,4.40211,3.55397,2.42139,1.72794,2.5879,4.07941,5.42365,7.54129,9.28871,9.61911,7.95407,7.51312,7.89304,7.11098,6.95885,6.64808,6.85583,6.5787,7.18879,7.92039,8.12831,8.28615,8.59777,8.77544,8.90192,9.09074,9.23694,9.38319,9.57683,9.82104
ARG,Argentina,24693,Travel and Tourism total contribution to GDP,Percentage share of total GDP,9.15859,9.08101,9.67127,9.72175,9.87789,9.75165,9.78442,12.3367,10.6586,11.8133,13.932,14.4646,14.6157,13.3722,12.9246,11.9289,11.2039,10.6486,10.2743,9.99388,9.55704,10.1034,10.2544,10.2939,10.1848,10.1051,10.0895,10.0681,10.0565,10.0575,10.072,10.0922,10.113,10.1425
ARG,Argentina,24695,Travel and Tourism total contribution to GDP,US$ in bn (Real prices),34.4671,36.0606,41.5183,43.3442,42.5466,41.6768,39.9698,45.1055,42.2683,49.0119,62.8381,70.5184,77.6915,73.8924,67.3217,68.3504,68.0819,64.0764,63.2435,59.9592,58.817,60.8265,63.5952,66.3066,68.0817,69.9192,71.9589,73.7128,75.3383,76.9362,78.6284,80.3704,82.1243,83.956
ARM,Armenia,24661,Government spending on travel and Tourism service,US$ in bn (Real prices),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
