T16,Exchange rates,,,,,,,
Region/Country/Area,,Year,Series,National currency,National currency footnote,Value,Footnotes,Source
8,Albania,1995,Exchange rates: end of period (national currency per US dollar),Lek (ALL),,94.2400,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
8,Albania,2005,Exchange rates: end of period (national currency per US dollar),Lek (ALL),,103.5800,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
8,Albania,2010,Exchange rates: end of period (national currency per US dollar),Lek (ALL),,104.0000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
8,Albania,2015,Exchange rates: end of period (national currency per US dollar),Lek (ALL),,125.7900,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
8,Albania,2016,Exchange rates: end of period (national currency per US dollar),Lek (ALL),,128.1700,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
8,Albania,2017,Exchange rates: end of period (national currency per US dollar),Lek (ALL),,111.1000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
8,Albania,2018,Exchange rates: end of period (national currency per US dollar),Lek (ALL),,107.8200,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
8,Albania,1995,Exchange rates: period average (national currency per US dollar),Lek (ALL),,92.6975,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
8,Albania,2005,Exchange rates: period average (national currency per US dollar),Lek (ALL),,99.8703,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
8,Albania,2010,Exchange rates: period average (national currency per US dollar),Lek (ALL),,103.9364,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
8,Albania,2015,Exchange rates: period average (national currency per US dollar),Lek (ALL),,125.9608,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
8,Albania,2016,Exchange rates: period average (national currency per US dollar),Lek (ALL),,124.1409,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
8,Albania,2017,Exchange rates: period average (national currency per US dollar),Lek (ALL),,119.0997,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
8,Albania,2018,Exchange rates: period average (national currency per US dollar),Lek (ALL),,107.9892,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,1985,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,4.7728,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,1995,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,52.1750,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,2005,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,73.3799,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,2010,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,74.9437,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,2015,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,107.1317,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,2016,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,110.5274,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,2017,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,114.9327,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,2018,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,118.2906,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,1985,Exchange rates: period average (national currency per US dollar),Algerian Dinar (DZD),,5.0278,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,1995,Exchange rates: period average (national currency per US dollar),Algerian Dinar (DZD),,47.6627,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,2005,Exchange rates: period average (national currency per US dollar),Algerian Dinar (DZD),,73.2763,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,2010,Exchange rates: period average (national currency per US dollar),Algerian Dinar (DZD),,74.3860,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,2015,Exchange rates: period average (national currency per US dollar),Algerian Dinar (DZD),,100.6914,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,2016,Exchange rates: period average (national currency per US dollar),Algerian Dinar (DZD),,109.4431,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
12,Algeria,2017,Exchange rates: period average (national currency per US dollar),Algerian Dinar (DZD),,110.9730,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
