"Data Source","World Development Indicators",

"Last Updated Date","2019-10-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Ecuador","ECU","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331000000","313000000","331000000","325000000","385000000","416000000","465000000","507000000","500000000","577000000","644000000","706000000","733000000","790000000","806000000","863000000","917000000","944000000","989000000","990000000","994000000","1034000000","1087000000","",
"Egypt, Arab Rep.","EGY","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1371000000","1382000000","1431000000","1271000000","1218000000","1206000000","1248000000","1309000000","1465000000","1543000000","1932000000","2156000000","2886000000","3390000000","2941000000","2696000000","2575000000","3037000000","3261000000","3486000000","3636000000","4351000000","2419000000","",
"Euro area","EMU","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155263482100","158764428500","145941176800","153103626300","158164576500","156242379000","156140868600","165619103600","199228218900","221210691900","231680909000","238714462000","275186224000","297502088000","265269451000","261194804000","287091334000","270669470000","287744000000","302576000000","258451000000","266614000000","290837000000","",
"Eritrea","ERI","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5826000000","6332000000","6163000000","7119000000","7803000000","7710000000","8466000000","9366000000","11330000000","14864000000","15175000000","16824000000","19870000000","20540000000","17133000000","16930000000","17374000000","15401000000","16434000000","17969000000","17347000000","19284000000","22321000000","",
"Estonia","EST","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121000000","141000000","162000000","197000000","255000000","253000000","253000000","305000000","404000000","486000000","530000000","706000000","804000000","939000000","605000000","633000000","806000000","796000000","1236000000","1345000000","1169000000","1299000000","1398000000","",
"Ethiopia","ETH","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30000000","30000000","48000000","51000000","57000000","80000000","50000000","55000000","63000000","59000000","77000000","97000000","107000000","156000000","139000000","143000000","170000000","181000000","214000000","283000000","372000000","461000000","363500000","",
"European Union","EUU","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","207600482100","215192428500","204244176800","217415626300","226400576500","225139379000","224183868600","240569103600","284800218900","322397691900","339481909000","354571462000","408117224000","442528088000","381016451000","378119804000","408409334000","394022470000","415537000000","437148000000","392044000000","399799000000","414979000000","",
"Fragile and conflict affected situations","FCS","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6890921934.39074","7853636462.24956","8728101696.56474","9083961428.44572","10334279473.9115","11489866138.3109","12808591018.7723","14387697691.1223","16111776113.8039","15596751716.6188","15649518421.2628","16814078472.0328","17327945948.1848","17900050476.0554","16877558479.979","","",
"Finland","FIN","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2853000000","2760000000","2541000000","2565000000","2525000000","2293000000","2442000000","2438000000","2954000000","3383000000","3622000000","4099000000","4812000000","5577000000","5233000000","5269000000","6010000000","5843000000","6387000000","6324000000","5785000000","6176000000","6675000000","",
"Fiji","FJI","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82000000","88000000","87000000","67000000","82000000","96000000","84000000","79000000","88000000","118000000","132000000","113000000","106000000","111000000","107000000","102000000","116000000","110000000","105000000","99000000","115000000","119000000","138000000","",
"France","FRA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20699000000","22049000000","17490000000","18819000000","22795000000","26703000000","26749000000","27808000000","32618000000","36029000000","38643000000","39301000000","46051000000","50361000000","45050000000","46704000000","55472000000","50087000000","52448000000","58446000000","47697000000","48760000000","50329000000","",
"Faroe Islands","FRO","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4600000","4800000","4900000","5300000","5400000","5300000","5500000","6700000","6900000","7000000","7000000","7100000","26000000","28000000","27000000","30000000","29000000","29000000","","","","",
