T22,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
2,Africa,2005,Balance imports/exports (millions of US dollars),,,60428.4050,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
2,Africa,2010,Balance imports/exports (millions of US dollars),,,28205.9847,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
2,Africa,2015,Balance imports/exports (millions of US dollars),,,-144325.5105,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
2,Africa,2016,Balance imports/exports (millions of US dollars),,,-127832.5210,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
2,Africa,2017,Balance imports/exports (millions of US dollars),,,-106689.6377,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
2,Africa,2018,Balance imports/exports (millions of US dollars),,,-95963.7065,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,1995,Imports CIF (millions of US dollars),,,45061.9889,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2005,Imports CIF (millions of US dollars),,,87570.7780,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2010,Imports CIF (millions of US dollars),,,181146.6646,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2015,Imports CIF (millions of US dollars),,,205344.9870,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2016,Imports CIF (millions of US dollars),,,182480.1650,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2017,Imports CIF (millions of US dollars),,,194069.1641,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2018,Imports CIF (millions of US dollars),,,210158.7661,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,1995,Exports FOB (millions of US dollars),,,33042.9418,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2005,Exports FOB (millions of US dollars),,,114104.0529,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2010,Exports FOB (millions of US dollars),,,165543.8400,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2015,Exports FOB (millions of US dollars),,,108661.0186,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2016,Exports FOB (millions of US dollars),,,99289.0757,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2017,Exports FOB (millions of US dollars),,,107472.3277,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2018,Exports FOB (millions of US dollars),,,116994.9703,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,1995,Balance imports/exports (millions of US dollars),,,-12019.0472,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2005,Balance imports/exports (millions of US dollars),,,26533.2749,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2010,Balance imports/exports (millions of US dollars),,,-15602.8246,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2015,Balance imports/exports (millions of US dollars),,,-96683.9684,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2016,Balance imports/exports (millions of US dollars),,,-83191.0893,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2017,Balance imports/exports (millions of US dollars),,,-86596.8364,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
15,Northern Africa,2018,Balance imports/exports (millions of US dollars),,,-93163.7958,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,1995,Imports CIF (millions of US dollars),,,69290.0247,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2005,Imports CIF (millions of US dollars),,,158656.7822,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2010,Imports CIF (millions of US dollars),,,287150.6559,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2015,Imports CIF (millions of US dollars),,,336445.8455,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2016,Imports CIF (millions of US dollars),,,291875.3791,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2017,Imports CIF (millions of US dollars),,,307819.4406,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2018,Imports CIF (millions of US dollars),,,325726.3277,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,1995,Exports FOB (millions of US dollars),,,70416.7456,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
202,Sub-Saharan Africa,2005,Exports FOB (millions of US dollars),,,192551.9124,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
