T23,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
72,Botswana,2005,Major trading partner 3 (% of exports),United Arab Emirates,,0.0679,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
72,Botswana,2010,Major trading partner 3 (% of exports),United Arab Emirates,,0.0638,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
72,Botswana,2018,Major trading partner 3 (% of exports),United Arab Emirates,,16.5627,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
72,Botswana,2005,Major trading partner 3 (% of imports),Namibia,,0.4894,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
72,Botswana,2010,Major trading partner 3 (% of imports),Namibia,,1.2134,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
72,Botswana,2018,Major trading partner 3 (% of imports),Namibia,,6.7075,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2005,Major trading partner 1 (% of exports),China,,5.7643,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2010,Major trading partner 1 (% of exports),China,,15.2406,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2018,Major trading partner 1 (% of exports),China,,21.8098,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2005,Major trading partner 1 (% of imports),China,,7.2751,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2010,Major trading partner 1 (% of imports),China,,14.0813,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2018,Major trading partner 1 (% of imports),China,,18.1238,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2005,Major trading partner 2 (% of exports),United States,,19.9069,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2010,Major trading partner 2 (% of exports),United States,,9.9834,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2018,Major trading partner 2 (% of exports),United States,,12.4680,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2005,Major trading partner 2 (% of imports),United States,,17.4656,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2010,Major trading partner 2 (% of imports),United States,,15.0063,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2018,Major trading partner 2 (% of imports),United States,,16.6583,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2005,Major trading partner 3 (% of exports),Argentina,,8.3742,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2010,Major trading partner 3 (% of exports),Argentina,,9.1699,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2018,Major trading partner 3 (% of exports),Argentina,,8.0917,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2005,Major trading partner 3 (% of imports),Argentina,,8.4797,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2010,Major trading partner 3 (% of imports),Argentina,,7.9412,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
76,Brazil,2018,Major trading partner 3 (% of imports),Argentina,,6.2589,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
92,British Virgin Islands,2005,Major trading partner 1 (% of exports),Mexico,,1.3280,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
92,British Virgin Islands,2010,Major trading partner 1 (% of exports),Mexico,,0.0530,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
92,British Virgin Islands,2018,Major trading partner 1 (% of exports),Mexico,,20.8242,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
92,British Virgin Islands,2018,Major trading partner 1 (% of imports),Areas nes,Areas not elsewhere specified.,48.4468,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
92,British Virgin Islands,2018,Major trading partner 2 (% of exports),Rwanda,,8.2370,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
92,British Virgin Islands,2005,Major trading partner 2 (% of imports),United States,,8.8578,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
92,British Virgin Islands,2010,Major trading partner 2 (% of imports),United States,,9.9156,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
92,British Virgin Islands,2018,Major trading partner 2 (% of imports),United States,,31.0850,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
92,British Virgin Islands,2005,Major trading partner 3 (% of exports),Australia,,1.0365,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
92,British Virgin Islands,2010,Major trading partner 3 (% of exports),Australia,,2.3993,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
92,British Virgin Islands,2018,Major trading partner 3 (% of exports),Australia,,5.6842,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
92,British Virgin Islands,2005,Major trading partner 3 (% of imports),Switzerland,,1.9955,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
92,British Virgin Islands,2010,Major trading partner 3 (% of imports),Switzerland,,3.9458,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
92,British Virgin Islands,2018,Major trading partner 3 (% of imports),Switzerland,,4.5405,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2005,Major trading partner 1 (% of exports),Japan,,37.7121,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2010,Major trading partner 1 (% of exports),Japan,,43.4662,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2018,Major trading partner 1 (% of exports),Japan,,29.2663,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2005,Major trading partner 1 (% of imports),China,,6.1868,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2010,Major trading partner 1 (% of imports),China,,7.8449,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2018,Major trading partner 1 (% of imports),China,,20.8090,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2005,Major trading partner 2 (% of exports),Rep. of Korea,,12.8507,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2010,Major trading partner 2 (% of exports),Rep. of Korea,,16.6869,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2018,Major trading partner 2 (% of exports),Rep. of Korea,,14.1702,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2005,Major trading partner 2 (% of imports),Singapore,,18.3326,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2010,Major trading partner 2 (% of imports),Singapore,,19.1029,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2018,Major trading partner 2 (% of imports),Singapore,,18.4539,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2005,Major trading partner 3 (% of exports),Malaysia,,1.3963,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2010,Major trading partner 3 (% of exports),Malaysia,,1.4861,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2018,Major trading partner 3 (% of exports),Malaysia,,11.2311,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2005,Major trading partner 3 (% of imports),Malaysia,,20.1352,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2010,Major trading partner 3 (% of imports),Malaysia,,23.6163,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
96,Brunei Darussalam,2018,Major trading partner 3 (% of imports),Malaysia,,18.2339,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2005,Major trading partner 1 (% of exports),Germany,,9.8130,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2010,Major trading partner 1 (% of exports),Germany,,10.6418,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2018,Major trading partner 1 (% of exports),Germany,,12.8599,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2005,Major trading partner 1 (% of imports),Germany,,13.6220,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2010,Major trading partner 1 (% of imports),Germany,,11.6655,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2018,Major trading partner 1 (% of imports),Germany,,12.2285,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2005,Major trading partner 2 (% of exports),Turkey,,10.4654,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2010,Major trading partner 2 (% of exports),Turkey,,8.6973,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2018,Major trading partner 2 (% of exports),Turkey,,8.8895,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2005,Major trading partner 2 (% of imports),Russian Federation,,15.6405,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2010,Major trading partner 2 (% of imports),Russian Federation,,16.1452,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2018,Major trading partner 2 (% of imports),Russian Federation,,10.2447,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2005,Major trading partner 3 (% of exports),Italy,,11.9631,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2010,Major trading partner 3 (% of exports),Italy,,9.6848,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2018,Major trading partner 3 (% of exports),Italy,,7.9251,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2005,Major trading partner 3 (% of imports),Italy,,8.9855,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2010,Major trading partner 3 (% of imports),Italy,,7.3983,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
100,Bulgaria,2018,Major trading partner 3 (% of imports),Italy,,7.2428,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2005,Major trading partner 1 (% of exports),Switzerland,,9.3901,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2010,Major trading partner 1 (% of exports),Switzerland,,63.4505,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2018,Major trading partner 1 (% of exports),Switzerland,,58.7682,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2005,Major trading partner 1 (% of imports),China,,2.6622,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2010,Major trading partner 1 (% of imports),China,,9.6786,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2018,Major trading partner 1 (% of imports),China,,13.9553,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2005,Major trading partner 2 (% of exports),India,,0.0085,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2010,Major trading partner 2 (% of exports),India,,0.1076,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2018,Major trading partner 2 (% of exports),India,,9.9272,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2005,Major trading partner 2 (% of imports),Côte d'Ivoire,,17.9333,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2010,Major trading partner 2 (% of imports),Côte d'Ivoire,,16.0151,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2018,Major trading partner 2 (% of imports),Côte d'Ivoire,,10.7766,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2005,Major trading partner 3 (% of exports),Singapore,,2.2259,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2010,Major trading partner 3 (% of exports),Singapore,,4.8742,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2018,Major trading partner 3 (% of exports),Singapore,,9.3492,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2005,Major trading partner 3 (% of imports),France,,18.6795,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2010,Major trading partner 3 (% of imports),France,,10.3255,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
854,Burkina Faso,2018,Major trading partner 3 (% of imports),France,,8.5724,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2005,Major trading partner 1 (% of exports),United Arab Emirates,,25.2771,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2010,Major trading partner 1 (% of exports),United Arab Emirates,,8.8446,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2018,Major trading partner 1 (% of exports),United Arab Emirates,,25.6131,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2005,Major trading partner 1 (% of imports),India,,4.1227,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2010,Major trading partner 1 (% of imports),India,,6.0177,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2018,Major trading partner 1 (% of imports),India,,13.9914,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2005,Major trading partner 2 (% of exports),Dem.Rep. of the Congo,,0.9361,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2010,Major trading partner 2 (% of exports),Dem.Rep. of the Congo,,6.1517,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2018,Major trading partner 2 (% of exports),Dem.Rep. of the Congo,,17.8356,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2005,Major trading partner 2 (% of imports),China,,4.1554,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2010,Major trading partner 2 (% of imports),China,,12.0213,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2018,Major trading partner 2 (% of imports),China,,13.7944,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2005,Major trading partner 3 (% of exports),Pakistan,,0.0036,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2018,Major trading partner 3 (% of exports),Pakistan,,9.2449,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2005,Major trading partner 3 (% of imports),Saudi Arabia,,0.3279,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2010,Major trading partner 3 (% of imports),Saudi Arabia,,0.5704,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
108,Burundi,2018,Major trading partner 3 (% of imports),Saudi Arabia,,9.4113,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2005,Major trading partner 1 (% of exports),Spain,,8.1489,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2010,Major trading partner 1 (% of exports),Spain,,32.1906,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2018,Major trading partner 1 (% of exports),Spain,,70.7853,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2005,Major trading partner 1 (% of imports),Portugal,,40.4488,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2010,Major trading partner 1 (% of imports),Portugal,,45.4963,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2018,Major trading partner 1 (% of imports),Portugal,,42.9325,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2005,Major trading partner 2 (% of exports),Portugal,,22.9145,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2010,Major trading partner 2 (% of exports),Portugal,,24.3535,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2018,Major trading partner 2 (% of exports),Portugal,,24.7578,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2005,Major trading partner 2 (% of imports),Spain,,7.0162,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2010,Major trading partner 2 (% of imports),Spain,,6.8284,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2018,Major trading partner 2 (% of imports),Spain,,12.6049,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2005,Major trading partner 3 (% of exports),United States,,5.9583,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2010,Major trading partner 3 (% of exports),United States,,0.4012,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2018,Major trading partner 3 (% of exports),United States,,2.3347,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2005,Major trading partner 3 (% of imports),Italy,,4.2622,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2010,Major trading partner 3 (% of imports),Italy,,1.9654,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
132,Cabo Verde,2018,Major trading partner 3 (% of imports),Italy,,6.1491,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2005,Major trading partner 1 (% of exports),United States,,52.9304,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2010,Major trading partner 1 (% of exports),United States,,34.0890,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2018,Major trading partner 1 (% of exports),United States,,21.3227,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2005,Major trading partner 1 (% of imports),China,,16.6206,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2010,Major trading partner 1 (% of imports),China,,24.1973,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2018,Major trading partner 1 (% of imports),China,,36.7872,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2005,Major trading partner 2 (% of exports),United Kingdom,,4.1157,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2010,Major trading partner 2 (% of exports),United Kingdom,,4.2122,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2018,Major trading partner 2 (% of exports),United Kingdom,,9.4666,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2005,Major trading partner 2 (% of imports),Thailand,,11.4033,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2010,Major trading partner 2 (% of imports),Thailand,,14.0891,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2018,Major trading partner 2 (% of imports),Thailand,,15.4397,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2005,Major trading partner 3 (% of exports),Germany,,7.4671,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2010,Major trading partner 3 (% of exports),Germany,,2.0116,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2018,Major trading partner 3 (% of exports),Germany,,8.9762,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2005,Major trading partner 3 (% of imports),Viet Nam,,7.1274,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2010,Major trading partner 3 (% of imports),Viet Nam,,9.9396,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
116,Cambodia,2018,Major trading partner 3 (% of imports),Viet Nam,,11.4461,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
120,Cameroon,2005,Major trading partner 1 (% of exports),Italy,,16.3210,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
120,Cameroon,2010,Major trading partner 1 (% of exports),Italy,,9.7104,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
120,Cameroon,2018,Major trading partner 1 (% of exports),Italy,,13.8834,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
120,Cameroon,2005,Major trading partner 1 (% of imports),China,,4.3638,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
120,Cameroon,2010,Major trading partner 1 (% of imports),China,,10.5790,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
120,Cameroon,2018,Major trading partner 1 (% of imports),China,,17.2225,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
120,Cameroon,2005,Major trading partner 2 (% of exports),China,,2.3999,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
120,Cameroon,2010,Major trading partner 2 (% of exports),China,,8.4973,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
120,Cameroon,2018,Major trading partner 2 (% of exports),China,,12.0863,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
120,Cameroon,2005,Major trading partner 2 (% of imports),France,,18.0050,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
