T23,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
12,Algeria,2005,Major trading partner 2 (% of exports),France,,9.9894,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
12,Algeria,2010,Major trading partner 2 (% of exports),France,,6.6187,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
12,Algeria,2018,Major trading partner 2 (% of exports),France,,12.5920,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
12,Algeria,2005,Major trading partner 2 (% of imports),France,,21.9694,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
12,Algeria,2010,Major trading partner 2 (% of imports),France,,14.9261,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
12,Algeria,2018,Major trading partner 2 (% of imports),France,,9.3317,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
12,Algeria,2005,Major trading partner 3 (% of exports),Spain,,10.9734,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
12,Algeria,2010,Major trading partner 3 (% of exports),Spain,,10.3568,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
12,Algeria,2018,Major trading partner 3 (% of exports),Spain,,11.6602,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
12,Algeria,2005,Major trading partner 3 (% of imports),Italy,,7.4855,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
12,Algeria,2010,Major trading partner 3 (% of imports),Italy,,10.0321,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
12,Algeria,2018,Major trading partner 3 (% of imports),Italy,,8.1536,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2005,Major trading partner 1 (% of exports),Spain,,59.2187,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2010,Major trading partner 1 (% of exports),Spain,,67.4169,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2018,Major trading partner 1 (% of exports),Spain,,28.1257,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2005,Major trading partner 1 (% of imports),Spain,,51.5005,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2010,Major trading partner 1 (% of imports),Spain,,59.9273,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2018,Major trading partner 1 (% of imports),Spain,,68.6321,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2005,Major trading partner 2 (% of exports),France,,16.9557,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2010,Major trading partner 2 (% of exports),France,,16.7659,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2018,Major trading partner 2 (% of exports),France,,14.0854,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2005,Major trading partner 2 (% of imports),France,,22.3265,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2010,Major trading partner 2 (% of imports),France,,17.6470,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2018,Major trading partner 2 (% of imports),France,,17.8828,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2018,Major trading partner 3 (% of exports),Sri Lanka,,13.9236,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2005,Major trading partner 3 (% of imports),Germany,,5.2748,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2010,Major trading partner 3 (% of imports),Germany,,4.5060,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
20,Andorra,2018,Major trading partner 3 (% of imports),Germany,,2.8912,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2005,Major trading partner 1 (% of exports),China,,29.8035,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2010,Major trading partner 1 (% of exports),China,,39.8449,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2018,Major trading partner 1 (% of exports),China,,58.0593,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2005,Major trading partner 1 (% of imports),China,,4.8089,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2010,Major trading partner 1 (% of imports),China,,10.0820,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2018,Major trading partner 1 (% of imports),China,,20.7375,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2005,Major trading partner 2 (% of exports),India,,0.0128,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2010,Major trading partner 2 (% of exports),India,,9.7275,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2018,Major trading partner 2 (% of exports),India,,11.2525,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2005,Major trading partner 2 (% of imports),Portugal,,12.8557,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2010,Major trading partner 2 (% of imports),Portugal,,14.3692,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2018,Major trading partner 2 (% of imports),Portugal,,14.7644,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2005,Major trading partner 3 (% of exports),United States,,40.0583,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2010,Major trading partner 3 (% of exports),United States,,18.9420,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2018,Major trading partner 3 (% of exports),United States,,6.7087,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2005,Major trading partner 3 (% of imports),United States,,11.9693,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2010,Major trading partner 3 (% of imports),United States,,9.2559,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
24,Angola,2018,Major trading partner 3 (% of imports),United States,,7.1618,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
660,Anguilla,2018,Major trading partner 1 (% of exports),Thailand,,23.6535,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
660,Anguilla,2005,Major trading partner 1 (% of imports),United States,,61.7321,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
660,Anguilla,2010,Major trading partner 1 (% of imports),United States,,59.4223,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
660,Anguilla,2018,Major trading partner 1 (% of imports),United States,,61.6906,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
660,Anguilla,2005,Major trading partner 2 (% of exports),United States,,26.5348,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
660,Anguilla,2010,Major trading partner 2 (% of exports),United States,,17.0127,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
660,Anguilla,2018,Major trading partner 2 (% of exports),United States,,22.8593,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
660,Anguilla,2005,Major trading partner 2 (% of imports),France,,3.1954,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
660,Anguilla,2010,Major trading partner 2 (% of imports),France,,1.5487,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
660,Anguilla,2018,Major trading partner 2 (% of imports),France,,17.7029,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
660,Anguilla,2018,Major trading partner 3 (% of exports),Chile,,13.0009,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
660,Anguilla,2005,Major trading partner 3 (% of imports),Poland,,0.0005,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
660,Anguilla,2010,Major trading partner 3 (% of imports),Poland,,0.0001,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
660,Anguilla,2018,Major trading partner 3 (% of imports),Poland,,3.8888,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2005,Major trading partner 1 (% of exports),Spain,,0.0482,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2010,Major trading partner 1 (% of exports),Spain,,0.6654,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2018,Major trading partner 1 (% of exports),Spain,,22.2700,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2005,Major trading partner 1 (% of imports),United States,,48.8759,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2010,Major trading partner 1 (% of imports),United States,,34.5250,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2018,Major trading partner 1 (% of imports),United States,,43.2253,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
28,Antigua and Barbuda,2005,Major trading partner 2 (% of exports),United Kingdom,,16.7183,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
