T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
120,Cameroon,2005,Balance of Payments: Financial account (millions of US dollars),-319.0381,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
120,Cameroon,2010,Balance of Payments: Financial account (millions of US dollars),-520.5306,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
120,Cameroon,2016,Balance of Payments: Financial account (millions of US dollars),-922.4899,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
120,Cameroon,2017,Balance of Payments: Financial account (millions of US dollars),"-1,120.8499",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,1985,Balance of Payments: Current account (millions of US dollars),"-5,838.9179",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,1995,Balance of Payments: Current account (millions of US dollars),"-5,061.1420",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2005,Balance of Payments: Current account (millions of US dollars),"21,933.0975",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2010,Balance of Payments: Current account (millions of US dollars),"-58,162.6704",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2016,Balance of Payments: Current account (millions of US dollars),"-49,054.4206",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2017,Balance of Payments: Current account (millions of US dollars),"-46,380.8118",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2018,Balance of Payments: Current account (millions of US dollars),"-45,323.3438",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,1985,Balance of Payments: Capital account (millions of US dollars),-1.3658,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,1995,Balance of Payments: Capital account (millions of US dollars),-433.4554,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2005,Balance of Payments: Capital account (millions of US dollars),-190.7979,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2010,Balance of Payments: Capital account (millions of US dollars),-121.3293,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2016,Balance of Payments: Capital account (millions of US dollars),-67.8478,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2017,Balance of Payments: Capital account (millions of US dollars),-58.3309,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2018,Balance of Payments: Capital account (millions of US dollars),-59.9157,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,1985,Balance of Payments: Financial account (millions of US dollars),"-9,987.1837",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,1995,Balance of Payments: Financial account (millions of US dollars),"-1,620.9428",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2005,Balance of Payments: Financial account (millions of US dollars),"20,409.9571",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2010,Balance of Payments: Financial account (millions of US dollars),"-58,302.4914",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2016,Balance of Payments: Financial account (millions of US dollars),"-49,606.9259",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2017,Balance of Payments: Financial account (millions of US dollars),"-40,549.9593",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
124,Canada,2018,Balance of Payments: Financial account (millions of US dollars),"-36,632.5559",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
140,Central African Republic,1985,Balance of Payments: Current account (millions of US dollars),-48.6158,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
140,Central African Republic,1985,Balance of Payments: Financial account (millions of US dollars),-56.3942,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
148,Chad,1985,Balance of Payments: Current account (millions of US dollars),-87.2407,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
148,Chad,1985,Balance of Payments: Financial account (millions of US dollars),-92.7774,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,1985,Balance of Payments: Current account (millions of US dollars),"-1,412.9800",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,1995,Balance of Payments: Current account (millions of US dollars),"-1,349.6000",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2005,Balance of Payments: Current account (millions of US dollars),"1,824.6251",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2010,Balance of Payments: Current account (millions of US dollars),"3,068.7887",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2016,Balance of Payments: Current account (millions of US dollars),"-3,960.0357",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2017,Balance of Payments: Current account (millions of US dollars),"-5,964.5238",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2018,Balance of Payments: Current account (millions of US dollars),"-9,157.2606",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2005,Balance of Payments: Capital account (millions of US dollars),41.2429,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2010,Balance of Payments: Capital account (millions of US dollars),"6,240.4724",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2016,Balance of Payments: Capital account (millions of US dollars),7.3049,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2017,Balance of Payments: Capital account (millions of US dollars),67.3464,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2018,Balance of Payments: Capital account (millions of US dollars),41.7897,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,1985,Balance of Payments: Financial account (millions of US dollars),"-1,482.9142",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,1995,Balance of Payments: Financial account (millions of US dollars),"-1,218.0808",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2005,Balance of Payments: Financial account (millions of US dollars),919.4553,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2010,Balance of Payments: Financial account (millions of US dollars),"8,480.2222",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2016,Balance of Payments: Financial account (millions of US dollars),"-2,565.7973",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2017,Balance of Payments: Financial account (millions of US dollars),"-4,684.9474",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
152,Chile,2018,Balance of Payments: Financial account (millions of US dollars),"-8,035.2463",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,1985,Balance of Payments: Current account (millions of US dollars),"-11,417.0000","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,1995,Balance of Payments: Current account (millions of US dollars),"1,618.3900","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2005,Balance of Payments: Current account (millions of US dollars),"132,378.4938","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2010,Balance of Payments: Current account (millions of US dollars),"237,810.3896","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2016,Balance of Payments: Current account (millions of US dollars),"202,203.4239","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2017,Balance of Payments: Current account (millions of US dollars),"195,116.6685","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2018,Balance of Payments: Current account (millions of US dollars),"49,091.5884","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2005,Balance of Payments: Capital account (millions of US dollars),"4,101.7925","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2010,Balance of Payments: Capital account (millions of US dollars),"4,630.4515","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2016,Balance of Payments: Capital account (millions of US dollars),-344.4074,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2017,Balance of Payments: Capital account (millions of US dollars),-91.4961,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2018,Balance of Payments: Capital account (millions of US dollars),-568.6077,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,1985,Balance of Payments: Financial account (millions of US dollars),"-11,410.6792","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,1995,Balance of Payments: Financial account (millions of US dollars),"-16,204.8027","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2005,Balance of Payments: Financial account (millions of US dollars),"159,727.2861","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2010,Balance of Payments: Financial account (millions of US dollars),"189,424.4092","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2016,Balance of Payments: Financial account (millions of US dollars),"-27,554.7560","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2017,Balance of Payments: Financial account (millions of US dollars),"-18,010.6756","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
156,China,2018,Balance of Payments: Financial account (millions of US dollars),"-111,690.0656","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2005,Balance of Payments: Current account (millions of US dollars),"21,574.6460",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2010,Balance of Payments: Current account (millions of US dollars),"16,012.1903",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2016,Balance of Payments: Current account (millions of US dollars),"12,711.2038",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2017,Balance of Payments: Current account (millions of US dollars),"15,885.3135",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2018,Balance of Payments: Current account (millions of US dollars),"15,555.8875",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2005,Balance of Payments: Capital account (millions of US dollars),-74.4752,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2010,Balance of Payments: Capital account (millions of US dollars),-570.6699,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2016,Balance of Payments: Capital account (millions of US dollars),-48.1866,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2017,Balance of Payments: Capital account (millions of US dollars),-82.6533,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2018,Balance of Payments: Capital account (millions of US dollars),-194.0851,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2005,Balance of Payments: Financial account (millions of US dollars),"19,369.0748",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2010,Balance of Payments: Financial account (millions of US dollars),"10,867.2438",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2016,Balance of Payments: Financial account (millions of US dollars),"12,972.0211",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2017,Balance of Payments: Financial account (millions of US dollars),"9,706.0091",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
344,"China, Hong Kong SAR",2018,Balance of Payments: Financial account (millions of US dollars),"23,289.7496",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
446,"China, Macao SAR",2005,Balance of Payments: Current account (millions of US dollars),"2,901.5490",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
446,"China, Macao SAR",2010,Balance of Payments: Current account (millions of US dollars),"11,089.1410",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
446,"China, Macao SAR",2016,Balance of Payments: Current account (millions of US dollars),"12,341.4679",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
446,"China, Macao SAR",2017,Balance of Payments: Current account (millions of US dollars),"16,661.7339",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
446,"China, Macao SAR",2005,Balance of Payments: Capital account (millions of US dollars),514.5437,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
446,"China, Macao SAR",2010,Balance of Payments: Capital account (millions of US dollars),19.5971,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
446,"China, Macao SAR",2016,Balance of Payments: Capital account (millions of US dollars),-68.2677,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
446,"China, Macao SAR",2017,Balance of Payments: Capital account (millions of US dollars),-44.7972,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
446,"China, Macao SAR",2005,Balance of Payments: Financial account (millions of US dollars),"1,445.7378",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
446,"China, Macao SAR",2010,Balance of Payments: Financial account (millions of US dollars),"6,808.9401",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
446,"China, Macao SAR",2016,Balance of Payments: Financial account (millions of US dollars),"12,672.8342",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
446,"China, Macao SAR",2017,Balance of Payments: Financial account (millions of US dollars),"16,700.7215",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
170,Colombia,1985,Balance of Payments: Current account (millions of US dollars),"-1,809.0000",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
170,Colombia,1995,Balance of Payments: Current account (millions of US dollars),"-4,515.8763",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
170,Colombia,2005,Balance of Payments: Current account (millions of US dollars),"-1,890.8529",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
170,Colombia,2010,Balance of Payments: Current account (millions of US dollars),"-8,732.1618",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
170,Colombia,2016,Balance of Payments: Current account (millions of US dollars),"-12,008.1453",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
170,Colombia,2017,Balance of Payments: Current account (millions of US dollars),"-10,341.4179",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
170,Colombia,2018,Balance of Payments: Current account (millions of US dollars),"-12,908.4979",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
170,Colombia,1985,Balance of Payments: Financial account (millions of US dollars),"-2,082.0876",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
170,Colombia,1995,Balance of Payments: Financial account (millions of US dollars),"-4,563.7204",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
170,Colombia,2005,Balance of Payments: Financial account (millions of US dollars),"-1,507.7875",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
170,Colombia,2010,Balance of Payments: Financial account (millions of US dollars),"-9,344.0959",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
170,Colombia,2016,Balance of Payments: Financial account (millions of US dollars),"-12,263.0059",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
170,Colombia,2017,Balance of Payments: Financial account (millions of US dollars),"-9,608.3871",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
170,Colombia,2018,Balance of Payments: Financial account (millions of US dollars),"-12,147.0943",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
174,Comoros,1985,Balance of Payments: Current account (millions of US dollars),-14.2568,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
174,Comoros,1995,Balance of Payments: Current account (millions of US dollars),-18.9632,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
174,Comoros,2005,Balance of Payments: Current account (millions of US dollars),-26.8402,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
174,Comoros,2010,Balance of Payments: Current account (millions of US dollars),-39.2973,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
174,Comoros,2005,Balance of Payments: Capital account (millions of US dollars),14.8331,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
174,Comoros,2010,Balance of Payments: Capital account (millions of US dollars),71.1924,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
174,Comoros,1985,Balance of Payments: Financial account (millions of US dollars),-12.4861,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
174,Comoros,1995,Balance of Payments: Financial account (millions of US dollars),-20.7325,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
174,Comoros,2005,Balance of Payments: Financial account (millions of US dollars),-5.2976,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
174,Comoros,2010,Balance of Payments: Financial account (millions of US dollars),34.7985,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
178,Congo,1985,Balance of Payments: Current account (millions of US dollars),-161.2664,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
178,Congo,1995,Balance of Payments: Current account (millions of US dollars),-625.2028,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
178,Congo,2005,Balance of Payments: Current account (millions of US dollars),695.5870,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
178,Congo,2010,Balance of Payments: Current account (millions of US dollars),900.3305,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
178,Congo,2016,Balance of Payments: Current account (millions of US dollars),"-3,593.5711",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
178,Congo,1995,Balance of Payments: Capital account (millions of US dollars),45.0828,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
178,Congo,2005,Balance of Payments: Capital account (millions of US dollars),11.1855,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
178,Congo,2010,Balance of Payments: Capital account (millions of US dollars),"2,667.4930",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
178,Congo,2016,Balance of Payments: Capital account (millions of US dollars),58.0852,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
178,Congo,1985,Balance of Payments: Financial account (millions of US dollars),-119.5725,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
178,Congo,1995,Balance of Payments: Financial account (millions of US dollars),-635.0428,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
178,Congo,2005,Balance of Payments: Financial account (millions of US dollars),737.2327,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
178,Congo,2010,Balance of Payments: Financial account (millions of US dollars),"3,313.8080",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
178,Congo,2016,Balance of Payments: Financial account (millions of US dollars),-430.3368,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
188,Costa Rica,1985,Balance of Payments: Current account (millions of US dollars),-126.0100,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
188,Costa Rica,1995,Balance of Payments: Current account (millions of US dollars),-358.1420,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
188,Costa Rica,2005,Balance of Payments: Current account (millions of US dollars),-860.0471,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
188,Costa Rica,2010,Balance of Payments: Current account (millions of US dollars),"-1,213.8743",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
188,Costa Rica,2016,Balance of Payments: Current account (millions of US dollars),"-1,257.2761",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
188,Costa Rica,2017,Balance of Payments: Current account (millions of US dollars),"-1,815.4387",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
188,Costa Rica,2018,Balance of Payments: Current account (millions of US dollars),"-1,877.7530",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
188,Costa Rica,2005,Balance of Payments: Capital account (millions of US dollars),15.1318,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
